def_condition,ans_condition,top_1,top_5,top_10,top_50,top_100,mean_rank,median_rank,mean_cosine_sim
Allsense,Allsense,0.0029857062253150273,0.044832612375399664,0.07693091342235596,0.1787270390571124,0.23772804212902013,5172.526228763087,1015.0,0.643358912532114
Allsense,Common,0.004999686540028838,0.042223058115478655,0.06777788226443483,0.15585229766158862,0.2052535891166698,7697.527764716946,1741.0,0.5910148424603404
Allsense,Obscure,0.005313146511190521,0.03980157983825466,0.06447871606795812,0.14745940693373455,0.19710362986646604,7687.026079869601,1872.0,0.5901816127197199
Common,Allsense,0.005728480972979751,0.043798194470566106,0.07121026894865526,0.163563412952166,0.2175098739890916,6761.064431697072,1389.0,0.5686392654556668
Common,Common,0.0032129647044072474,0.04142373518901636,0.06627327440285875,0.1481725283681274,0.19476835308131152,8838.254466804588,2208.0,0.5297900083483839
Common,Obscure,0.008690677700457651,0.03890821892044386,0.059643596012789166,0.13451351012475707,0.1793774684972729,9484.886480471443,2674.0,0.5182507357072159
Obscure,Allsense,0.004145508118613253,0.03687856560717197,0.06030969845150774,0.14019497210206255,0.1879505987085449,7267.115635383361,1964.0,0.5644767725608694
Obscure,Common,0.007037176352579775,0.03424550184941383,0.05313146511190521,0.12082314588427058,0.16086765720017554,9851.517161933421,3375.0,0.5150925329441969
Obscure,Obscure,0.002703592251269513,0.03234906902388565,0.05199517271644411,0.12000031345997116,0.16107140618143062,9410.02379944831,3194.0,0.5221369244291495
Clue Context,Allsense,0.004106325622218043,0.02564102564102564,0.04397843395398408,0.11674032975988967,0.16247413955237916,7401.112622249389,2160.0,0.5421166009272085
Clue Context,Common,0.004169017616450379,0.022772866904896244,0.03861043194784026,0.1014905021628738,0.14280452636198357,9672.279594539526,3350.0,0.49918261498201844
Clue Context,Obscure,0.0042473826092408,0.021738449000062693,0.03658861513384741,0.09650648862140304,0.13686445990846968,9810.827702808601,3564.0,0.49673298664797405
